,Country,x,y
0,Australia,-280,-9
1,Indonesia,-397,205
2,Timor Leste,-337,160
3,Papua New Guinea,-150,186
4,Solomon Islands,-30,190
5,Vanuatu,71,91
6,New Caledonia,68,23
7,Wallis and Futuna,213,100
8,Samoa,280,111
9,Fiji,185,75
10,Tonga,245,25
11,Kiribati,427,270
12,Tahiti,499,64
13,New Zealand,140,-220
